name	constituency	party	img_src
A. Raja, Shri	Nilgiris (SC)(Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/344.jpg
Abbaiah, Shri Narayana Swamy	Chitradurga (SC)(Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5175.jpg
Abdullah, Dr. Farooq	Srinagar (Jammu and Kashmir)	Jammu and Kashmir National Conference	https://loksabhadocs.nic.in/mpimage/photo/2654.jpg
Adhikari,  Shri Deepak (Dev)	Ghatal (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/4847.jpg
Adhikari, Shri Dibyendu	Tamluk (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/4939.jpg
Adhikari,  Shri Sisir Kumar	Kanthi (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/4502.jpg
Adv. A. M. Ariff	Alappuzha (Kerala)	Communist Party of India (Marxist)	https://loksabhadocs.nic.in/mpimage/photo/5121.jpg
Agrawal,  Shri Rajendra	Meerut (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4267.jpg
Ahluwalia,  Shri S.S.	Bardhaman-Durgapur (West Bengal)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4793.jpg
Ahmed, Smt. Sajda	Uluberia (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/4944.jpg
Ajgalley, Shri Guharam	Janjgir-Champa (SC)(Chhattisgarh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4013.jpg
Ajmal,  Maulana Badruddin	Dhubri (Assam)	All India United Democratic Front	https://loksabhadocs.nic.in/mpimage/photo/4436.jpg
Ambareesh, Smt. Sumalatha	Mandya (Karnataka)	Independent	https://loksabhadocs.nic.in/mpimage/photo/5180.jpg
Angadi, Smt. Mangal Suresh	Belgaum (Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5531.jpg
Annadurai, Shri C.N.	Tiruvannamalai (Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/4969.jpg
Annpurna Devi, Smt.	Kodarma (Jharkhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5116.jpg
Ansari, Shri Afzal	Ghazipur (Uttar Pradesh)	Bahujan Samaj Party	https://loksabhadocs.nic.in/mpimage/photo/4170.jpg
Antony,  Shri Anto	Pathanamthitta (Kerala)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4571.jpg
Aujla, Shri Gurjeet Singh	Amritsar (Punjab)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4940.jpg
Azad, Smt.  Sangeeta	Lalganj (SC)(Uttar Pradesh)	Bahujan Samaj Party	https://loksabhadocs.nic.in/mpimage/photo/5152.jpg
B.N. , Shri Bache Gowda	Chikkballapur (Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5173.jpg
Baalu, Shri Thalikkottai Rajuthevar	Sriperumbudur (Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/26.jpg
Badal, Smt. Harsimrat Kaur	Bathinda (Punjab)	Shiromani Akali Dal	https://loksabhadocs.nic.in/mpimage/photo/4433.jpg
Badal, Shri Sukhbir Singh	Ferozpur (Punjab)	Shiromani Akali Dal	https://loksabhadocs.nic.in/mpimage/photo/3652.jpg
Baghel, Prof. S.P. Singh	Agra (SC)(Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/31.jpg
